,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
295,280,Théo Maledon,PG,21,CHO,35,1,16.1,1.8,4.3,.408,0.6,1.8,.323,1.2,2.6,.467,.474,1.4,1.6,.875,0.3,2.1,2.4,2.5,0.8,0.2,1.0,1.0,5.5,2023
296,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
297,281,Sandro Mamukelashvili,C,23,MIL,19,0,8.8,0.8,2.4,.333,0.3,1.3,.240,0.5,1.1,.450,.400,0.4,0.6,.583,0.6,1.7,2.3,0.7,0.1,0.2,0.3,0.7,2.3,2023
298,282,Terance Mann,SG,26,LAC,44,19,22.4,3.4,6.5,.523,0.8,2.3,.370,2.6,4.3,.604,.587,1.1,1.5,.766,1.1,2.7,3.7,1.9,0.6,0.3,1.0,1.8,8.8,2023
299,283,Tre Mann,PG,21,OKC,39,4,19.7,3.3,8.4,.391,1.4,4.5,.307,1.9,3.9,.490,.474,0.5,0.7,.704,0.4,1.9,2.4,1.7,0.7,0.2,1.0,1.5,8.4,2023
300,284,Boban Marjanović,C,34,HOU,15,0,4.0,1.0,1.5,.682,0.0,0.1,.000,1.0,1.4,.714,.682,0.7,0.9,.786,0.5,1.0,1.5,0.2,0.1,0.1,0.3,0.1,2.7,2023
301,285,Lauri Markkanen,SF,25,UTA,42,42,34.2,8.3,16.0,.519,2.9,7.1,.413,5.4,8.9,.604,.611,5.1,5.8,.869,1.8,6.8,8.6,1.9,0.6,0.6,1.9,2.1,24.6,2023
302,286,Naji Marshall,SF,25,NOP,42,16,25.0,3.6,8.2,.441,1.1,3.3,.338,2.5,4.9,.510,.509,2.1,2.6,.793,0.8,3.0,3.7,2.4,0.8,0.2,1.3,1.5,10.5,2023
303,287,Caleb Martin,PF,27,MIA,35,35,31.2,3.9,8.5,.462,1.4,3.6,.394,2.5,4.9,.512,.545,1.0,1.3,.773,1.5,3.3,4.8,1.8,1.1,0.4,1.1,2.0,10.3,2023
304,288,Cody Martin,SF,27,CHO,7,0,19.1,2.0,5.1,.389,0.4,2.0,.214,1.6,3.1,.500,.431,0.6,1.0,.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0,2023
305,289,Kenyon Martin Jr.,SF,22,HOU,44,11,24.6,4.3,7.9,.550,0.9,2.9,.325,3.4,5.0,.679,.610,1.4,2.3,.626,1.4,3.6,4.9,1.3,0.4,0.3,1.1,1.7,11.0,2023
306,290,Tyrese Martin,SG,23,ATL,11,0,3.8,0.5,1.5,.375,0.1,0.5,.200,0.5,1.0,.455,.406,0.2,0.2,1.000,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.2,1.4,2023
307,291,Garrison Mathews,SG,26,HOU,37,0,12.8,1.3,3.7,.355,1.2,3.4,.357,0.1,0.3,.333,.518,0.9,1.0,.944,0.2,1.1,1.3,0.5,0.6,0.1,0.4,1.3,4.8,2023
308,292,Bennedict Mathurin,SF,20,IND,45,5,28.1,5.4,12.8,.422,1.5,4.5,.330,3.9,8.3,.472,.480,4.9,6.1,.813,1.1,2.9,4.0,1.4,0.6,0.1,1.9,2.0,17.2,2023
309,293,Wesley Matthews,SG,36,MIL,27,0,14.6,0.9,2.8,.329,0.7,2.3,.311,0.2,0.6,.400,.454,0.3,0.4,.900,0.7,0.9,1.6,0.6,0.5,0.2,0.4,1.4,2.9,2023
310,294,Tyrese Maxey,SG,22,PHI,24,21,34.4,7.6,16.8,.452,2.5,6.4,.390,5.1,10.4,.490,.526,3.2,4.0,.784,0.4,2.6,3.0,3.9,0.9,0.2,1.8,2.2,20.8,2023
311,295,Miles McBride,PG,22,NYK,33,2,13.4,1.2,3.7,.339,0.6,2.4,.266,0.6,1.3,.476,.426,0.4,0.6,.684,0.2,0.5,0.7,1.1,0.6,0.0,0.4,0.9,3.5,2023
312,296,CJ McCollum,SG,31,NOP,39,39,35.2,8.0,18.4,.434,3.0,7.5,.401,5.0,10.9,.457,.515,2.3,2.9,.783,0.8,3.8,4.6,5.8,1.0,0.6,2.6,1.7,21.3,2023
313,297,T.J. McConnell,PG,30,IND,42,0,17.9,2.8,5.7,.492,0.3,0.6,.407,2.5,5.1,.502,.515,0.7,0.8,.906,0.6,2.0,2.7,4.6,1.1,0.1,1.5,1.2,6.6,2023
314,298,Jaden McDaniels,PF,22,MIN,42,42,30.4,4.5,8.5,.524,1.2,3.0,.389,3.3,5.5,.597,.592,1.3,1.7,.757,1.3,2.4,3.7,2.0,1.1,1.0,1.5,3.5,11.4,2023
315,299,Jalen McDaniels,SF,25,CHO,45,17,26.8,4.1,8.8,.461,1.3,3.6,.358,2.8,5.2,.532,.534,1.8,2.0,.859,0.8,3.9,4.8,2.0,1.1,0.6,1.4,2.9,11.2,2023
316,300,Doug McDermott,SF,31,SAS,38,0,20.5,3.9,8.0,.487,1.9,4.5,.421,2.0,3.5,.571,.605,0.8,1.1,.738,0.3,2.1,2.4,1.4,0.1,0.2,0.9,1.7,10.5,2023
317,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
318,301,JaVale McGee,C,35,DAL,28,7,8.0,1.7,2.8,.615,0.0,0.1,.250,1.7,2.6,.635,.622,0.5,0.9,.542,0.6,1.8,2.5,0.3,0.1,0.6,0.9,1.2,3.9,2023
319,302,Bryce McGowens,SG,20,CHO,18,0,11.6,1.1,2.7,.388,0.3,0.9,.375,0.7,1.8,.394,.449,0.7,0.8,.857,0.2,1.1,1.2,0.8,0.2,0.2,0.4,0.4,3.1,2023
320,303,Rodney McGruder,SG,31,DET,19,2,10.2,1.0,2.7,.365,0.8,2.0,.395,0.2,0.7,.286,.510,0.4,0.6,.727,0.5,0.8,1.4,0.6,0.3,0.0,0.4,0.8,3.2,2023
321,304,Jordan McLaughlin,PG,26,MIN,18,0,15.9,1.6,3.7,.424,0.4,1.9,.235,1.1,1.8,.625,.485,0.5,0.5,1.000,0.4,1.3,1.7,3.6,0.8,0.1,0.8,0.4,4.1,2023
322,305,De'Anthony Melton,PG,24,PHI,40,31,29.5,4.1,9.8,.420,2.4,6.0,.395,1.8,3.9,.458,.539,0.6,0.8,.710,1.0,3.6,4.6,3.0,1.9,0.5,1.5,2.4,11.2,2023
323,306,Chimezie Metu,C,25,SAC,30,0,10.7,2.1,3.5,.594,0.2,0.7,.238,1.9,2.8,.682,.618,0.7,0.8,.840,0.7,2.4,3.1,0.7,0.3,0.2,0.6,1.3,5.1,2023
324,307,Khris Middleton,SF,31,MIL,7,7,24.4,3.6,11.0,.325,1.6,5.9,.268,2.0,5.1,.389,.396,2.4,2.7,.895,0.1,2.4,2.6,4.4,0.6,0.1,1.6,2.6,11.1,2023
325,308,Patty Mills,PG,34,BRK,26,1,12.3,2.0,4.3,.459,1.2,3.0,.410,0.7,1.3,.576,.604,0.5,0.6,.933,0.2,0.8,1.0,1.3,0.3,0.0,0.6,0.5,5.7,2023
326,309,Shake Milton,SG,26,PHI,39,9,23.6,4.0,7.9,.506,0.9,2.3,.389,3.1,5.6,.555,.563,1.4,1.7,.833,0.5,2.5,3.0,3.3,0.3,0.2,1.5,1.8,10.4,2023
327,310,Josh Minott,SF,20,MIN,7,0,2.3,0.4,0.7,.600,0.0,0.1,.000,0.4,0.6,.750,.600,0.6,0.6,1.000,0.3,0.4,0.7,0.3,0.1,0.3,0.0,0.3,1.4,2023
328,311,Davion Mitchell,PG,24,SAC,41,3,19.1,2.5,5.4,.466,0.9,2.5,.343,1.7,2.9,.571,.545,0.3,0.4,.722,0.2,1.3,1.5,2.2,0.6,0.2,0.9,1.5,6.2,2023
329,312,Donovan Mitchell,SG,26,CLE,40,40,36.1,9.8,20.2,.484,3.7,9.4,.395,6.0,10.7,.562,.576,5.2,5.9,.869,0.9,3.0,3.9,4.8,1.4,0.4,3.0,2.5,28.4,2023
330,313,Evan Mobley,PF,21,CLE,43,43,33.9,5.8,10.5,.555,0.2,1.1,.196,5.6,9.4,.596,.565,2.6,3.7,.694,2.4,6.4,8.8,2.7,0.7,1.3,2.0,2.8,14.5,2023
331,314,Isaiah Mobley,PF,23,CLE,8,0,3.3,0.5,1.0,.500,0.1,0.3,.500,0.4,0.8,.500,.563,0.0,0.0,,0.1,1.3,1.4,0.0,0.1,0.0,0.0,0.3,1.1,2023
332,315,Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,1.0,.000,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,2023
333,316,Malik Monk,SG,24,SAC,41,0,22.6,4.8,10.9,.438,1.8,5.5,.326,3.0,5.5,.549,.519,2.4,2.7,.899,0.5,1.9,2.4,3.9,0.6,0.2,1.9,1.6,13.7,2023
334,317,Moses Moody,SG,20,GSW,38,3,14.8,1.8,4.0,.451,0.9,2.5,.365,0.9,1.5,.596,.565,0.7,1.0,.703,0.4,1.2,1.6,0.9,0.3,0.1,0.7,0.9,5.2,2023
335,318,Wendell Moore Jr.,SG,21,MIN,17,2,5.8,0.8,1.7,.448,0.1,0.7,.167,0.6,1.0,.647,.483,0.2,0.3,.800,0.1,0.6,0.8,0.5,0.3,0.2,0.4,0.6,1.9,2023
