,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
381,361,Jordan Poole,PG,23,GSW,44,22,30.2,7.1,16.3,.437,2.6,8.1,.318,4.5,8.2,.552,.515,4.2,4.8,.869,0.4,2.3,2.6,4.4,0.8,0.3,3.5,2.4,21.0,2023
382,362,Kevin Porter Jr.,PG,22,HOU,40,40,34.0,6.7,15.4,.437,2.2,6.4,.346,4.5,9.0,.501,.509,3.5,4.6,.766,1.4,4.1,5.5,5.6,1.3,0.4,3.6,2.7,19.2,2023
383,363,Michael Porter Jr.,SF,24,DEN,29,29,29.0,6.0,12.8,.470,2.7,6.8,.403,3.3,6.0,.546,.577,1.5,2.0,.759,1.1,4.6,5.7,1.2,0.6,0.5,1.2,2.4,16.2,2023
384,364,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,.500,0.8,2.1,.353,1.1,1.6,.692,.600,1.0,1.0,1.000,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5,2023
385,365,Bobby Portis,PF,27,MIL,44,12,26.6,5.9,11.9,.495,1.2,3.5,.329,4.7,8.4,.565,.544,1.3,1.5,.824,2.6,7.4,10.0,1.8,0.5,0.3,1.3,1.7,14.2,2023
386,366,Kristaps Porziņģis,C,27,WAS,39,39,32.9,7.3,15.5,.474,1.9,5.4,.344,5.5,10.0,.545,.535,5.7,6.9,.815,1.9,6.8,8.8,2.4,1.0,1.5,2.2,2.9,22.2,2023
387,367,Micah Potter,PF,24,UTA,3,0,4.7,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,1.3,2023
388,368,Dwight Powell,C,31,DAL,40,28,17.6,2.3,3.1,.732,0.0,0.1,.000,2.3,3.0,.744,.732,1.6,2.2,.705,1.9,1.9,3.8,0.6,0.5,0.4,0.8,2.8,6.1,2023
389,369,Norman Powell,SG,29,LAC,35,5,25.3,5.3,11.3,.472,1.7,4.4,.390,3.6,6.9,.525,.548,3.3,4.2,.777,0.3,2.7,3.0,1.7,0.8,0.4,1.7,2.0,15.6,2023
390,370,Jason Preston,PG,23,LAC,8,0,8.4,1.0,2.6,.381,0.5,1.4,.364,0.5,1.3,.400,.476,0.0,0.3,.000,0.1,1.1,1.3,1.8,0.1,0.0,0.5,0.6,2.5,2023
391,371,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,.346,0.8,3.0,.250,1.5,3.5,.429,.404,1.8,2.3,.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,2023
392,372,Taurean Prince,SF,28,MIN,25,0,20.8,3.2,6.5,.500,1.4,3.3,.422,1.8,3.2,.582,.608,1.0,1.2,.800,0.3,2.0,2.3,1.2,0.4,0.3,1.2,2.5,8.8,2023
393,373,Payton Pritchard,PG,25,BOS,30,1,10.7,1.7,4.3,.406,0.8,2.4,.329,0.9,1.8,.509,.500,0.3,0.4,.667,0.5,0.8,1.4,0.9,0.3,0.0,0.7,0.5,4.5,2023
394,374,Trevelin Queen,SG,25,IND,3,0,9.7,0.3,2.7,.125,0.0,2.0,.000,0.3,0.7,.500,.125,1.0,1.0,1.000,0.7,1.0,1.7,1.0,0.3,0.7,1.0,0.3,1.7,2023
395,375,Neemias Queta,C,23,SAC,4,0,6.3,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.0,0.5,.000,1.0,1.3,2.3,0.3,0.0,0.3,0.3,1.8,3.0,2023
396,376,Immanuel Quickley,PG,23,NYK,45,8,27.1,4.3,10.2,.420,1.6,4.9,.329,2.7,5.3,.504,.499,2.2,2.6,.856,0.6,3.4,4.0,3.2,0.9,0.1,1.2,2.1,12.4,2023
397,377,Julius Randle,PF,28,NYK,45,45,35.7,8.2,17.9,.457,2.6,7.7,.340,5.6,10.2,.546,.530,5.4,7.2,.751,2.2,8.4,10.6,3.9,0.7,0.4,2.7,3.1,24.4,2023
398,378,Austin Reaves,SG,24,LAL,36,12,28.9,3.4,7.1,.488,1.3,3.5,.360,2.2,3.6,.612,.577,2.6,2.9,.896,0.6,2.4,3.1,2.2,0.6,0.4,1.4,1.7,10.8,2023
399,379,Cam Reddish,SF,23,NYK,20,8,21.9,3.1,6.8,.449,0.9,2.8,.304,2.2,4.0,.550,.511,1.5,1.7,.879,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,8.4,2023
400,380,Davon Reed,SG,27,DEN,28,1,9.1,0.7,2.2,.311,0.5,1.3,.351,0.2,0.9,.250,.418,0.5,0.6,.722,0.3,1.2,1.5,0.6,0.3,0.1,0.5,1.0,2.3,2023
401,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
402,381,Paul Reed,C,23,PHI,34,0,10.0,1.4,2.5,.560,0.0,0.1,.000,1.4,2.4,.588,.560,0.4,0.5,.778,1.4,2.1,3.4,0.4,0.7,0.6,0.6,2.0,3.2,2023
403,382,Naz Reid,C,23,MIN,37,4,17.8,4.3,7.8,.551,1.0,2.8,.353,3.3,5.0,.659,.613,1.0,1.5,.649,1.2,3.7,4.9,0.9,0.5,0.9,1.2,2.3,10.5,2023
404,383,Jared Rhoden,SG,23,DET,1,0,12.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2023
405,384,Nick Richards,C,25,CHO,38,0,17.3,3.2,5.1,.625,0.0,0.0,,3.2,5.1,.625,.625,2.0,2.8,.733,2.6,3.2,5.8,0.6,0.2,0.8,0.8,2.3,8.3,2023
406,385,Josh Richardson,SG,29,SAS,34,3,23.1,4.1,9.3,.442,1.8,4.9,.361,2.4,4.4,.530,.536,1.3,1.4,.878,0.6,1.9,2.5,3.3,0.9,0.2,1.5,1.7,11.3,2023
407,386,Austin Rivers,SG,30,MIN,35,10,20.9,2.0,4.3,.470,1.0,2.5,.391,1.0,1.8,.581,.584,0.7,0.8,.862,0.1,1.6,1.7,1.5,0.6,0.1,0.6,1.7,5.7,2023
408,387,Duncan Robinson,SF,28,MIA,28,0,17.9,2.3,6.2,.368,1.6,5.0,.331,0.6,1.3,.514,.500,0.7,0.8,.909,0.3,1.7,1.9,1.2,0.3,0.0,0.7,2.0,6.9,2023
409,388,Mitchell Robinson,C,24,NYK,37,36,27.4,3.2,4.7,.674,0.0,0.0,,3.2,4.7,.674,.674,1.1,2.0,.534,4.4,4.7,9.1,1.0,0.9,1.8,0.5,3.0,7.4,2023
410,389,Orlando Robinson,C,22,MIA,17,1,15.2,2.1,3.7,.556,0.0,0.3,.000,2.1,3.4,.603,.556,0.6,0.8,.786,1.6,2.7,4.4,0.9,0.5,0.4,0.6,1.9,4.8,2023
411,390,Jeremiah Robinson-Earl,PF,22,OKC,26,18,21.1,3.3,6.7,.489,1.1,2.9,.382,2.2,3.8,.571,.572,0.8,1.1,.786,2.0,3.0,5.0,1.0,0.7,0.4,0.6,1.9,8.5,2023
412,391,Isaiah Roby,PF,24,SAS,32,1,10.7,1.5,3.4,.440,0.4,1.5,.298,1.1,1.9,.548,.505,0.4,0.9,.448,0.4,2.0,2.4,1.0,0.4,0.2,0.6,1.1,3.8,2023
413,392,David Roddy,PF,21,MEM,39,1,18.6,2.5,6.1,.415,0.9,3.2,.290,1.6,2.9,.554,.492,0.6,1.1,.581,0.6,2.2,2.8,0.7,0.4,0.3,0.8,1.5,6.6,2023
414,393,Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,.350,0.3,0.8,.333,0.3,0.9,.364,.425,0.5,0.5,1.000,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9,2023
415,394,Derrick Rose,PG,34,NYK,26,0,12.9,2.3,6.0,.394,0.7,2.3,.317,1.6,3.7,.442,.455,0.4,0.5,.917,0.3,1.2,1.5,1.8,0.3,0.2,0.8,0.7,5.8,2023
416,395,Terrence Ross,SG,31,ORL,40,9,22.5,3.1,7.2,.429,1.4,3.8,.373,1.7,3.4,.493,.528,0.4,0.5,.750,0.3,1.8,2.1,1.3,0.6,0.2,0.9,1.3,8.0,2023
417,396,Terry Rozier,SG,28,CHO,35,35,35.6,7.9,19.1,.412,2.5,7.8,.324,5.3,11.3,.472,.478,2.6,3.1,.835,1.1,3.1,4.2,5.3,0.8,0.2,2.4,1.8,20.8,2023
418,397,Ricky Rubio,PG,32,CLE,3,0,13.3,1.7,4.3,.385,1.0,3.0,.333,0.7,1.3,.500,.500,0.3,0.7,.500,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.7,2023
419,398,D'Angelo Russell,PG,26,MIN,42,42,32.5,6.0,13.0,.461,2.3,6.3,.365,3.7,6.7,.552,.549,2.8,3.2,.859,0.5,2.5,3.0,6.2,1.1,0.5,2.6,2.2,17.1,2023
420,399,Matt Ryan,SF,25,TOT,24,0,9.3,1.1,3.3,.338,0.9,2.5,.373,0.2,0.9,.238,.475,0.3,0.4,.889,0.2,0.7,0.9,0.3,0.2,0.0,0.3,0.8,3.5,2023
421,399,Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,.306,1.1,2.9,.371,0.2,1.2,.143,.439,0.3,0.4,.800,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,3.9,2023
422,399,Matt Ryan,SF,25,MIN,12,0,7.8,1.0,2.6,.387,0.8,2.0,.375,0.3,0.6,.429,.532,0.3,0.3,1.000,0.2,0.4,0.6,0.3,0.2,0.1,0.3,0.3,3.1,2023
423,400,Domantas Sabonis,C,26,SAC,41,41,34.3,7.0,11.4,.610,0.5,1.2,.380,6.5,10.2,.637,.630,4.4,5.9,.749,3.0,9.6,12.6,7.1,0.8,0.5,2.6,3.6,18.9,2023
424,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
425,401,Dario Šarić,PF,28,PHO,26,9,13.6,1.8,4.4,.409,0.7,2.0,.373,1.1,2.5,.438,.491,0.7,0.7,.895,0.8,2.3,3.2,1.4,0.3,0.1,1.0,1.5,5.0,2023
426,402,Jordan Schakel,SF,24,WAS,2,0,3.0,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,2023
427,403,Admiral Schofield,PF,25,ORL,25,0,13.3,1.8,3.7,.478,0.7,2.2,.333,1.0,1.5,.684,.576,0.7,0.8,.895,0.8,1.3,2.1,0.9,0.2,0.1,0.2,2.0,4.9,2023
428,404,Dennis Schröder,PG,29,LAL,30,27,29.7,4.0,9.4,.431,1.3,3.5,.362,2.8,5.9,.472,.498,2.9,3.3,.878,0.2,2.1,2.2,3.7,0.6,0.0,1.6,2.1,12.2,2023
429,405,Dereon Seabron,SG,22,NOP,4,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.0,2023
430,406,Alperen Şengün,C,20,HOU,40,37,27.1,5.9,10.4,.564,0.2,0.7,.286,5.7,9.7,.584,.573,3.0,3.9,.768,3.3,5.4,8.7,3.1,0.8,1.0,2.3,3.4,14.9,2023
431,407,Collin Sexton,SG,24,UTA,34,10,24.1,4.9,9.9,.497,1.0,2.5,.395,3.9,7.4,.532,.548,3.6,4.2,.840,0.9,1.4,2.3,2.9,0.6,0.1,1.7,2.4,14.4,2023
432,408,Landry Shamet,SG,25,PHO,30,7,21.4,3.1,8.1,.380,2.0,5.4,.377,1.0,2.7,.388,.506,1.4,1.5,.911,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,9.5,2023
433,409,Day'Ron Sharpe,C,21,BRK,21,1,8.8,1.4,2.7,.526,0.2,0.2,.800,1.2,2.5,.500,.561,0.6,0.9,.684,1.2,1.9,3.1,0.7,0.1,0.5,0.8,1.6,3.7,2023
434,410,Shaedon Sharpe,SG,19,POR,42,5,19.7,3.1,6.5,.469,0.9,2.5,.340,2.2,4.0,.550,.535,0.5,0.9,.611,0.8,1.7,2.5,0.5,0.4,0.2,0.7,1.6,7.5,2023
435,411,Pascal Siakam,C,28,TOR,34,34,37.4,8.8,18.5,.475,1.4,4.1,.326,7.4,14.4,.517,.511,6.6,8.5,.781,1.9,6.3,8.2,6.5,0.8,0.6,2.6,3.4,25.6,2023
436,412,Ben Simmons,PG,26,BRK,31,26,27.2,3.4,5.9,.582,0.0,0.0,.000,3.4,5.8,.586,.582,0.6,1.5,.413,1.0,5.7,6.7,6.2,1.5,0.5,2.1,3.5,7.5,2023
437,413,Marko Simonovic,C,23,CHI,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
438,414,Anfernee Simons,SG,23,POR,41,41,35.8,7.7,17.5,.442,3.7,9.8,.374,4.1,7.7,.527,.546,2.8,3.1,.898,0.3,2.6,2.9,4.0,0.8,0.3,2.1,2.5,21.9,2023
439,415,Jericho Sims,C,24,NYK,32,2,12.3,1.7,2.1,.779,0.0,0.0,,1.7,2.1,.779,.779,0.3,0.3,.800,1.8,2.4,4.2,0.3,0.2,0.6,0.4,1.6,3.6,2023
440,416,Marcus Smart,PG,28,BOS,39,39,32.7,4.0,9.5,.419,1.8,5.5,.329,2.2,4.1,.541,.513,1.4,1.8,.775,0.7,2.7,3.4,7.3,1.3,0.4,2.3,2.7,11.2,2023
441,417,Dennis Smith Jr.,PG,25,CHO,23,11,25.6,3.4,8.1,.425,0.5,1.9,.256,3.0,6.2,.476,.454,0.7,1.0,.667,0.4,2.3,2.8,4.8,1.6,0.5,1.4,2.3,8.0,2023
442,418,Dru Smith,SG,25,MIA,5,1,13.4,1.0,2.8,.357,0.2,1.2,.167,0.8,1.6,.500,.393,0.0,0.0,,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,2.2,2023
443,419,Ish Smith,PG,34,DEN,20,0,8.2,1.1,2.7,.396,0.1,0.3,.333,1.0,2.4,.404,.415,0.1,0.1,.500,0.1,0.8,0.8,1.7,0.3,0.3,0.9,0.6,2.3,2023
444,420,Jabari Smith Jr.,PF,19,HOU,43,43,29.9,4.3,11.0,.390,1.8,5.7,.316,2.5,5.3,.470,.472,1.7,2.2,.798,1.2,5.7,7.0,1.0,0.6,0.9,1.3,3.1,12.1,2023
445,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
446,421,Jalen Smith,PF,22,IND,43,28,19.9,3.7,7.9,.460,0.9,3.2,.273,2.8,4.7,.589,.516,1.7,2.1,.772,1.8,4.1,6.0,1.1,0.4,0.9,1.2,2.3,9.8,2023
447,422,Jeremy Sochan,PF,19,SAS,38,35,25.7,3.7,8.1,.456,0.4,2.0,.197,3.3,6.1,.541,.480,1.0,1.7,.619,1.6,3.3,4.8,2.4,0.8,0.5,1.8,2.7,8.8,2023
448,423,Jaden Springer,SG,20,PHI,6,0,4.0,1.2,1.8,.636,0.0,0.0,,1.2,1.8,.636,.636,0.5,0.7,.750,0.7,0.5,1.2,0.2,0.2,0.3,0.2,1.0,2.8,2023
449,424,Lamar Stevens,PF,25,CLE,29,18,20.8,2.3,5.3,.432,0.5,1.8,.294,1.8,3.6,.500,.481,0.8,1.2,.706,0.7,2.8,3.5,0.7,0.4,0.5,0.6,1.3,6.0,2023
450,425,Isaiah Stewart,C,21,DET,37,37,28.5,4.1,8.9,.457,1.4,4.2,.335,2.6,4.7,.566,.537,2.2,2.9,.734,2.2,5.8,8.0,1.2,0.4,0.7,1.5,2.7,11.7,2023
451,426,Max Strus,SF,26,MIA,43,24,31.1,4.6,11.5,.401,2.7,7.9,.337,2.0,3.6,.542,.517,1.2,1.3,.879,0.6,3.0,3.7,2.1,0.7,0.2,1.0,2.0,13.1,2023
452,427,Jalen Suggs,PG,21,ORL,20,13,24.4,3.8,9.2,.410,1.1,4.2,.262,2.7,5.0,.535,.470,1.8,2.5,.700,1.0,2.0,3.0,4.3,1.3,0.6,2.5,2.5,10.4,2023
453,428,Edmond Sumner,SG,27,BRK,35,10,14.0,2.2,4.9,.451,0.5,1.6,.281,1.8,3.3,.534,.497,1.6,1.7,.933,0.3,1.1,1.4,1.4,0.8,0.2,0.9,1.6,6.5,2023
454,429,Cole Swider,SF,23,LAL,4,0,8.0,0.8,2.0,.375,0.8,1.8,.429,0.0,0.3,.000,.563,0.0,0.0,,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.8,2.3,2023
455,430,Jae'Sean Tate,SF,27,HOU,8,2,20.1,2.8,6.6,.415,0.5,1.8,.286,2.3,4.9,.462,.453,0.8,0.9,.857,1.6,1.6,3.3,3.5,1.1,0.1,1.3,3.4,6.8,2023
456,431,Jayson Tatum,PF,24,BOS,43,43,36.8,10.2,21.6,.471,3.3,9.4,.352,6.9,12.2,.563,.548,7.4,8.6,.867,1.1,7.2,8.3,4.3,1.0,0.8,2.6,2.1,31.1,2023
457,432,Terry Taylor,SG,23,IND,20,2,7.8,0.9,2.1,.415,0.2,0.7,.231,0.7,1.4,.500,.451,0.2,0.3,.800,0.7,0.8,1.4,0.4,0.1,0.2,0.3,0.8,2.1,2023
458,433,Garrett Temple,SG,36,NOP,14,0,7.8,0.9,2.1,.433,0.6,1.4,.421,0.4,0.8,.455,.567,0.2,0.3,.750,0.1,0.6,0.7,0.5,0.6,0.1,0.2,0.8,2.6,2023
459,434,Dalen Terry,SG,20,CHI,16,0,3.4,0.3,0.9,.357,0.1,0.3,.250,0.3,0.6,.400,.393,0.2,0.3,.750,0.0,0.3,0.3,0.4,0.1,0.1,0.3,0.3,0.9,2023
460,435,Cam Thomas,SG,21,BRK,27,0,13.6,2.1,5.1,.413,0.4,1.1,.387,1.7,4.0,.421,.457,1.7,2.2,.783,0.1,1.2,1.3,1.4,0.3,0.1,0.7,0.9,6.4,2023
461,436,Klay Thompson,SG,32,GSW,34,34,32.0,7.6,18.0,.420,4.1,10.4,.394,3.5,7.6,.456,.533,1.6,1.9,.889,0.7,3.2,3.9,2.5,0.6,0.4,1.7,2.0,20.9,2023
462,437,JT Thor,PF,20,CHO,32,0,10.6,1.0,2.6,.373,0.4,1.5,.277,0.6,1.1,.500,.452,0.4,0.6,.722,0.5,1.3,1.7,0.4,0.2,0.3,0.4,0.7,2.8,2023
463,438,Matisse Thybulle,SG,25,PHI,39,6,12.1,1.0,2.3,.418,0.4,1.3,.308,0.6,1.0,.564,.505,0.1,0.2,.500,0.3,0.9,1.2,0.5,0.8,0.3,0.2,1.3,2.4,2023
464,439,Xavier Tillman Sr.,PF,24,MEM,27,1,11.3,1.9,3.2,.586,0.1,0.4,.300,1.8,2.9,.623,.603,0.6,1.2,.500,1.3,1.6,2.9,0.6,0.5,0.3,0.4,1.0,4.5,2023
465,440,Isaiah Todd,PF,21,WAS,4,0,3.3,0.3,1.0,.250,0.0,0.8,.000,0.3,0.3,1.000,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2023
466,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
467,441,Obi Toppin,PF,24,NYK,30,0,16.0,2.5,6.3,.404,1.2,3.6,.346,1.3,2.7,.481,.503,0.5,0.6,.842,0.6,2.9,3.5,1.0,0.4,0.2,0.7,1.1,6.8,2023
468,442,Juan Toscano-Anderson,SF,29,LAL,24,7,13.3,1.2,2.3,.518,0.2,0.8,.222,1.0,1.6,.658,.554,0.3,0.5,.727,0.5,1.8,2.3,0.9,0.4,0.3,0.6,1.7,2.9,2023
469,443,Karl-Anthony Towns,PF,27,MIN,21,21,33.8,7.3,14.4,.505,1.8,5.6,.325,5.5,8.9,.618,.568,4.4,5.0,.885,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,20.8,2023
470,444,Gary Trent Jr.,SG,24,TOR,37,27,32.4,6.2,14.3,.436,2.5,7.1,.360,3.7,7.2,.509,.525,3.2,3.9,.828,0.5,1.9,2.4,1.5,1.7,0.2,1.0,1.7,18.2,2023
471,445,P.J. Tucker,PF,37,PHI,41,41,27.0,1.2,3.0,.405,0.7,1.7,.380,0.5,1.2,.440,.517,0.3,0.3,.857,1.3,3.0,4.2,0.8,0.5,0.2,0.8,2.5,3.3,2023
472,446,Myles Turner,C,26,IND,36,36,30.0,6.2,11.2,.556,1.5,3.9,.390,4.7,7.3,.645,.624,3.4,4.3,.788,1.4,6.5,7.9,1.5,0.6,2.3,1.6,3.3,17.4,2023
473,447,Jonas Valančiūnas,C,30,NOP,44,44,25.2,5.7,10.5,.538,0.6,1.8,.359,5.0,8.8,.574,.568,2.7,3.3,.839,2.8,6.9,9.8,1.8,0.3,0.5,2.0,3.0,14.7,2023
474,448,Jarred Vanderbilt,PF,23,UTA,45,41,24.7,3.4,6.0,.570,0.3,1.0,.326,3.1,5.0,.619,.597,1.3,1.9,.698,2.5,5.6,8.1,2.8,1.0,0.3,1.5,2.6,8.6,2023
475,449,Fred VanVleet,PG,28,TOR,36,36,36.8,5.8,15.4,.376,2.8,8.6,.328,3.0,6.9,.435,.467,3.8,4.2,.888,0.5,3.8,4.3,6.3,1.5,0.6,1.7,2.9,18.2,2023
476,450,Devin Vassell,SG,22,SAS,29,24,31.3,7.1,16.0,.445,2.8,7.0,.404,4.3,9.0,.477,.533,2.4,3.0,.793,0.2,3.8,4.0,3.6,1.2,0.4,1.6,1.4,19.4,2023
477,451,Gabe Vincent,PG,26,MIA,31,5,25.4,3.5,8.3,.416,1.6,4.9,.320,1.9,3.4,.558,.512,1.0,1.1,.857,0.4,1.8,2.2,2.8,0.9,0.1,1.5,2.4,9.5,2023
478,452,Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,.458,0.0,0.2,.250,0.4,0.9,.500,.479,0.1,0.1,1.000,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,2023
479,453,Nikola Vučević,C,32,CHI,44,44,33.6,7.0,13.4,.524,1.8,4.6,.383,5.3,8.8,.596,.589,1.7,2.0,.833,2.1,8.8,10.9,3.1,0.7,0.9,1.8,2.0,17.5,2023
480,454,Dean Wade,PF,26,CLE,17,9,24.1,2.2,4.9,.452,1.4,3.3,.411,0.9,1.6,.536,.589,0.5,0.8,.692,0.6,3.5,4.1,1.0,0.7,0.4,0.4,2.5,6.4,2023
481,455,Franz Wagner,SF,21,ORL,43,43,33.4,7.4,15.1,.489,1.7,4.7,.358,5.7,10.4,.548,.545,3.8,4.5,.850,0.8,3.0,3.9,3.3,0.9,0.2,2.1,2.3,20.3,2023
482,456,Moritz Wagner,C,25,ORL,23,14,23.7,4.0,8.0,.492,1.1,3.5,.325,2.8,4.6,.619,.562,2.7,3.2,.849,1.8,4.3,6.1,2.0,0.8,0.2,1.6,3.1,11.7,2023
483,457,Ish Wainright,SF,28,PHO,28,1,14.5,1.3,3.4,.394,0.9,2.4,.368,0.4,0.9,.462,.527,0.2,0.3,.667,1.0,1.0,2.0,1.0,0.7,0.3,0.5,2.0,3.8,2023
484,458,Jabari Walker,SF,20,POR,27,0,9.2,0.9,2.2,.407,0.1,0.6,.188,0.8,1.6,.488,.432,0.5,0.8,.667,1.0,1.4,2.4,0.6,0.1,0.2,0.4,1.3,2.4,2023
485,459,Kemba Walker,PG,32,DAL,9,1,16.0,2.7,6.3,.421,0.8,3.1,.250,1.9,3.2,.586,.482,1.9,2.3,.810,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,2023
486,460,Lonnie Walker IV,SG,24,LAL,32,32,29.8,5.3,11.7,.455,2.1,5.4,.384,3.3,6.3,.515,.543,2.0,2.3,.875,0.3,2.0,2.3,1.4,0.8,0.3,1.0,1.7,14.7,2023
487,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
488,461,John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,.408,1.0,3.2,.303,3.1,6.7,.459,.457,2.3,3.3,.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,2023
489,462,T.J. Warren,PF,29,BRK,18,0,20.5,4.3,8.3,.523,0.8,2.1,.368,3.6,6.2,.577,.570,0.9,1.2,.810,0.7,2.4,3.1,1.3,0.7,0.3,0.7,1.7,10.4,2023
490,463,Duane Washington Jr.,SG,22,PHO,27,3,13.3,3.2,8.6,.375,1.3,3.7,.350,1.9,4.9,.394,.450,0.6,0.9,.667,0.0,1.1,1.1,2.0,0.2,0.1,1.2,0.7,8.3,2023
491,464,P.J. Washington,PF,24,CHO,44,44,32.3,5.7,12.9,.439,2.0,5.6,.363,3.6,7.3,.498,.519,1.8,2.3,.800,1.1,3.5,4.5,2.3,0.8,1.1,1.5,2.7,15.2,2023
492,465,TyTy Washington Jr.,PG,21,HOU,13,0,10.8,1.3,3.8,.340,0.2,1.8,.130,1.1,2.1,.519,.370,0.2,0.5,.500,0.1,1.2,1.2,1.3,0.4,0.0,0.3,1.2,3.1,2023
493,466,Yuta Watanabe,SF,28,BRK,29,0,18.5,2.6,4.8,.543,1.4,2.7,.506,1.2,2.1,.590,.686,0.6,0.8,.696,0.7,2.1,2.8,0.9,0.5,0.3,0.4,1.5,7.2,2023
494,467,Lindy Waters III,SG,25,OKC,18,0,11.4,1.4,3.7,.394,1.3,3.4,.377,0.2,0.3,.600,.568,0.3,0.4,.714,0.4,1.3,1.7,0.8,0.3,0.3,0.3,0.9,4.4,2023
495,468,Trendon Watford,PF,22,POR,30,2,15.8,1.7,3.2,.542,0.3,0.8,.333,1.5,2.4,.611,.583,1.2,1.5,.783,0.7,2.9,3.6,1.5,0.4,0.1,0.9,1.8,4.9,2023
496,469,Peyton Watson,SG,20,DEN,6,0,2.5,0.5,1.5,.333,0.0,0.2,.000,0.5,1.3,.375,.333,0.0,0.0,,0.3,0.2,0.5,0.0,0.0,0.0,0.0,0.2,1.0,2023
497,470,Blake Wesley,SG,19,SAS,4,0,9.8,2.3,3.5,.643,0.8,1.0,.750,1.5,2.5,.600,.750,0.5,1.0,.500,0.3,0.8,1.0,1.3,0.0,0.0,1.0,1.8,5.8,2023
498,471,Russell Westbrook,PG,34,LAL,41,3,28.7,5.8,13.8,.421,1.2,4.0,.291,4.6,9.8,.475,.464,2.9,4.3,.678,1.1,5.5,6.6,7.8,1.0,0.5,3.6,2.3,15.7,2023
499,472,Coby White,SG,22,CHI,36,0,21.2,2.9,6.9,.427,1.6,4.5,.366,1.3,2.4,.540,.546,0.8,1.1,.789,0.2,2.5,2.6,1.9,0.8,0.1,0.8,1.7,8.4,2023
500,473,Derrick White,SG,28,BOS,45,38,26.2,3.4,7.6,.450,1.6,4.1,.378,1.8,3.4,.535,.553,1.7,2.0,.865,0.6,2.5,3.1,3.4,0.7,0.9,1.0,2.3,10.1,2023
